date,dist,time
i,f,f
20080914,21097,1.5622222
20090426,42195,3.7730556
20090913,21097,1.5980556
20100425,42195,3.5766667
20100905,21097,1.4527778
20101031,42195,3.1905556
20101211,10000,0.7352778
20101231,10000,0.7183333
20110305,10000,0.6163889
20110409,21097,1.3586111
20110503,10000,0.5955556
20110621,5000,0.2861111
20110904,21097,1.6941667
20110911,21097,1.7072222
20111101,10000,0.6211111
20111210,10000,0.6711111
20120424,10000,0.6394444
20120428,10000,0.6994444
20120909,21097,1.4761111
20121209,5000,0.3163889
20121231,10000,0.6486111
20130414,10000,37.1666667
20130423,10000,0.5852778
20130427,21097,1.3244444
20130509,5000,0.2836111
20130619,5000,0.2975000
20130901,10000,0.6147222
20130929,42195,3.4319444
20131027,42195,3.0469444
20131214,10000,0.6238889
20131231,10000,0.6088889
20140309,21097,1.3261111
20140329,10000,0.5950000
20140406,21097,1.3322222
20140413,21097,1.3005556
20140504,42195,2.8297222
20140604,3000,0.1622222
20140606,10000,0.6044444
20140611,5000,0.2852778
20140713,10000,0.6722222
20140806,5000,0.2827778
20140831,10000,0.6105556
20140903,3000,0.1611111
20140906,5000,0.3036111
20141019,5000,0.2833333
20141101,10000,0.6105556
20141213,10000,0.6422222
20150603,3000,0.1727778
20150624,5000,0.3166667
20150701,3000,0.1716667
20151101,5000,0.3005556
20151114,3000,0.1833333
20160227,10000,0.6444444
20160504,800,0.0372222
20160622,5000,0.2997222
20160706,800,0.0363889
20160708,1609,0.0805556
20160911,21097,1.4013889
20170621,5000,0.2958333
20170906,1000,0.0486111
20180518,10000,0.6633333
20180620,5000,0.3002778
20190508,1500,0.0780556
20190529,5000,0.2913889
20190619,5000,0.2950000
20220904,21097,1.4816667
20230524,10000,0.6630556
20230621,5000,0.3116667
20230705,1500,0.0800000
20230809,1500,0.0800000
